sample_id	tumor_type	num_ssms	num_sims
1935	Lung-SCC	49921	2150
1936	Breast-LobularCA	5094	210
1937	Lung-SCC	55115	2182
1938	Lung-SCC	37044	1702
1939	Lung-SCC	31709	1090
1940	Lung-SCC	12547	790
1941	Lung-SCC	32018	1523
1942	Lung-SCC	47146	1165
1943	Lung-SCC	5390	220
1944	Lung-SCC	24042	942
1945	Lung-SCC	59660	2332
1946	Lung-SCC	43797	1993
1947	Lung-SCC	118509	4717
1948	Lung-SCC	54237	1886
1949	Lung-SCC	53600	2245
1950	Lung-SCC	25474	858
1951	Lung-SCC	41072	1630
1952	Lung-SCC	37122	1308
1953	Lung-SCC	57322	1473
1954	Lung-SCC	31808	2062
1955	Lung-SCC	18722	717
1956	Lung-SCC	53166	1941
1957	Lung-SCC	45636	1547
1958	Lung-SCC	52897	2053
1959	Breast-AdenoCA	9374	452
1960	Lung-SCC	55087	1638
1961	Lung-SCC	30138	1359
1962	Lung-SCC	59223	3437
1963	Lung-SCC	78839	2836
1964	Breast-AdenoCA	12016	880
1965	Lung-SCC	41126	1680
1966	Breast-AdenoCA	4546	348
1967	Lung-SCC	61592	1994
1968	Lung-SCC	73524	3143
1969	Lung-SCC	75956	2560
1970	Lung-SCC	48348	1837
1971	Breast-AdenoCA	4517	581
1972	Lung-SCC	29173	1492
1973	Lung-SCC	67884	2296
1974	Lung-SCC	24651	1032
1975	Lung-SCC	29212	1483
1976	Lung-SCC	57083	2055
1977	Lymph-BNHL	1976	171
1978	Lymph-BNHL	2571	282
1979	Lymph-BNHL	2480	184
1980	Lymph-BNHL	5344	492
1981	Lymph-BNHL	3980	477
1982	Lymph-BNHL	15397	863
1983	Lymph-BNHL	4203	283
1984	Lymph-BNHL	2328	270
1985	Lymph-BNHL	13891	794
1986	Lymph-BNHL	44591	3436
1987	Lymph-BNHL	3945	358
1988	Lymph-BNHL	16476	1296
1989	Lymph-BNHL	4195	321
1990	Lymph-BNHL	7084	331
1991	Lymph-BNHL	4638	259
1992	Lymph-BNHL	3710	286
1993	Lymph-BNHL	3758	217
